,All
51->52,0.1427951440361373
52->53,0.0
53->54,0.0
54->55,0.0
55->56,0.1427951440361373
56->57,0.0
57->58,0.0
58->59,0.20483424751859083
59->60,0.12987501165334073
60->61,0.6652907408280683
61->62,0.6936634693435664
62->63,0.3063365306564336
63->64,0.0
64->65,0.4982506457922279
65->66,0.1427951440361373
66->67,0.0
67->68,0.8364586133797037
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.12987501165334073
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.12987501165334073
78->79,0.3589542101716347
79->80,0.34762939155472816
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.0
84->85,0.7951657524814091
85->86,0.20483424751859083
86->87,0.7065836017263629
87->88,0.0
88->89,0.12987501165334073
89->90,0.0
90->91,0.3589542101716347
91->92,0.0
92->93,0.1427951440361373
93->94,0.0
94->95,0.0
95->96,0.12987501165334073
96->97,0.0
97->98,0.1635413866202963
98->99,0.20483424751859083
99->100,0.0
100->101,0.3063365306564336
