,All
51->52,0.1427951440361373
52->53,0.1427951440361373
53->54,0.20483424751859083
54->55,0.0
55->56,0.0
56->57,0.34762939155472816
57->58,0.20483424751859083
58->59,0.4888292218249754
59->60,0.6523706084452718
60->61,0.3589542101716347
61->62,0.522495596791931
62->63,0.0
63->64,0.0
64->65,0.522495596791931
65->66,0.0
66->67,0.0
67->68,0.8572048559638626
68->69,0.0
69->70,0.5637884576902256
70->71,0.0
71->72,0.4888292218249754
72->73,0.0
73->74,0.4982506457922279
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.20483424751859083
78->79,0.12987501165334073
79->80,0.20483424751859083
80->81,0.12987501165334073
81->82,0.3589542101716347
82->83,0.12987501165334073
83->84,0.5637884576902256
84->85,0.3589542101716347
85->86,0.20483424751859083
86->87,0.3589542101716347
87->88,0.0
88->89,0.36837563413888713
89->90,0.293416398273637
90->91,0.0
91->92,0.0
92->93,0.0
93->94,0.0
94->95,0.0
95->96,0.12987501165334073
96->97,0.1427951440361373
97->98,0.33470925917193156
98->99,0.0636207881989517
99->100,0.1635413866202963
100->101,0.1427951440361373
