,All
51->52,0.0
52->53,0.0
53->54,0.0
54->55,0.07336392209936006
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.12987501165334073
59->60,0.0
60->61,0.0
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.1635413866202963
65->66,0.3589542101716347
66->67,0.0
67->68,0.5541432109622958
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.1427951440361373
74->75,0.0
75->76,0.06625422345438903
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.20483424751859083
80->81,0.0
81->82,0.0
82->83,0.1427951440361373
83->84,0.2984900352767555
84->85,0.12987501165334073
85->86,0.0
86->87,0.0
87->88,0.0
88->89,0.20483424751859083
89->90,0.1635413866202963
90->91,0.0
91->92,0.0
92->93,0.0
93->94,0.0
94->95,0.0
95->96,0.1635413866202963
96->97,0.0
97->98,0.12987501165334073
98->99,0.0
99->100,0.0
100->101,0.0
